line #	init state	h (Manhattan)	f* (optimal sol len)	IDA* nodes gen
1	14 13 15 7 11 12 9 5 6 0 2 1 4 8 10 3	41	57	276,361,933
64	5 2 14 0 7 8 6 3 11 12 13 15 4 10 9 1	31	51	260,054,152
21	12 8 14 6 11 4 7 0 5 1 10 15 3 13 9 2	34	54	257,064,810
67	7 1 2 4 8 3 6 11 10 15 0 5 14 12 13 9	28	50	252,783,878
26	5 7 3 12 15 13 14 8 0 10 9 6 1 4 2 11	40	58	226,668,645
54	12 11 0 8 10 2 13 15 5 4 7 3 6 9 14 1	40	56	220,374,385
10	13 11 8 9 0 15 7 10 4 3 6 14 5 12 2 1	43	59	198,758,703
89	11 1 7 4 10 13 3 8 9 14 0 15 6 5 2 12	36	54	166,571,097
70	15 1 3 12 4 0 6 5 2 8 14 9 13 10 7 11	30	52	151,042,571
11	5 9 13 14 6 3 7 12 10 8 4 0 15 2 11 1	43	57	150,346,072
80	11 0 15 8 13 12 3 5 10 1 4 6 14 9 7 2	43	57	132,945,856
76	15 10 8 3 0 6 9 5 1 14 13 11 7 2 12 4	41	57	126,638,417
29	9 8 0 2 15 1 4 14 3 10 7 5 11 13 6 12	38	54	117,076,111
69	6 0 5 15 1 14 4 9 2 13 8 10 11 12 7 3	37	53	109,562,359
84	15 8 10 7 0 12 14 1 5 9 6 3 13 11 4 2	37	55	106,074,303
98	0 11 3 12 5 2 1 9 8 10 14 15 7 4 13 6	34	54	103,526,883
25	11 4 2 7 1 0 10 15 6 9 14 8 3 13 5 12	32	52	100,734,844
44	12 9 0 6 8 3 5 14 2 4 11 7 10 1 15 13	32	50	95,733,125
99	7 15 4 0 10 9 2 5 12 11 13 6 1 3 14 8	39	57	83,477,694
100	11 4 0 8 6 10 5 13 12 7 14 3 1 2 9 15	38	54	67,880,056
83	12 3 9 1 4 5 10 2 6 11 15 0 14 7 13 8	31	49	65,533,432
87	9 5 11 10 13 0 2 1 8 6 14 12 4 7 3 15	34	52	64,926,494
68	7 3 1 13 12 10 5 2 8 0 6 11 14 15 4 9	31	51	64,367,799
40	11 5 1 14 4 12 10 0 2 7 13 3 9 15 6 8	36	54	63,276,188
50	12 5 13 11 2 10 0 9 7 8 4 3 14 6 15 1	39	53	63,036,422
4	5 12 10 7 15 11 14 0 8 2 1 13 3 4 9 6	42	56	62,643,179
36	12 6 0 4 7 3 15 1 13 9 8 11 2 14 5 10	36	52	59,802,602
41	8 13 10 9 11 3 15 6 0 1 2 14 12 5 4 7	36	54	51,501,544
35	1 6 12 14 3 2 15 8 4 5 13 9 0 7 11 10	39	55	47,506,056
75	14 4 0 10 6 5 1 3 9 2 13 15 12 7 8 11	30	48	42,772,589
24	7 3 14 13 4 1 10 8 5 12 9 11 2 15 6 0	34	54	42,693,209
43	11 15 14 13 1 9 10 4 3 6 2 12 7 5 8 0	48	64	41,124,767
8	12 11 15 3 8 0 4 2 6 13 9 5 14 1 10 7	32	50	39,118,937
6	14 7 1 9 12 3 6 15 8 11 2 5 10 0 4 13	36	52	32,201,660
51	10 2 8 4 15 0 1 14 11 13 3 6 9 7 5 12	44	56	26,622,863
38	7 15 8 2 13 6 3 12 11 0 4 10 9 5 1 14	41	53	24,492,852
18	6 0 14 12 1 15 9 10 11 4 7 2 8 3 5 13	43	55	23,711,067
62	4 6 12 0 14 2 9 13 11 8 3 15 7 10 1 5	43	57	23,540,413
46	8 4 6 1 14 12 2 15 13 10 9 5 3 7 0 11	35	49	22,119,320
34	6 11 7 8 13 2 5 4 1 10 3 9 14 0 12 15	36	52	20,671,552
39	9 0 4 10 1 14 15 3 12 6 5 7 11 13 8 2	35	49	19,355,806
65	7 8 3 2 10 12 4 6 11 13 5 15 0 1 9 14	31	47	18,997,681
77	0 13 2 4 12 14 6 9 15 1 10 3 11 5 8 7	34	54	18,918,269
16	1 3 2 5 10 9 15 6 8 14 13 11 12 4 7 0	24	42	17,984,051
20	6 12 11 3 13 7 9 15 2 14 8 10 4 1 5 0	36	52	17,954,870
23	10 9 3 11 0 13 2 14 5 6 4 7 8 15 1 12	33	49	15,971,319
2	13 5 4 10 9 12 8 14 2 3 7 1 0 15 11 6	43	55	15,300,442
58	5 0 15 8 4 6 1 14 10 11 3 9 7 12 2 13	37	51	12,955,404
96	1 7 15 14 2 6 4 9 12 11 13 3 0 8 5 10	35	49	12,808,564
13	3 6 5 2 10 0 15 14 1 4 13 12 9 8 11 7	36	46	11,861,705
5	4 7 14 13 10 3 9 12 11 5 6 15 1 2 8 0	42	56	11,020,325
78	3 14 13 6 4 15 8 9 5 12 10 0 2 7 1 11	41	53	10,907,150
81	13 0 9 12 11 6 3 5 15 8 1 10 4 14 2 7	39	53	9,982,569
71	5 7 0 11 12 1 9 10 15 6 2 3 8 4 13 14	30	44	8,885,972
57	5 11 6 9 4 13 12 0 8 2 15 10 1 7 3 14	36	50	8,841,527
90	5 4 7 1 11 12 14 15 10 13 8 6 2 0 9 3	36	50	7,171,137
95	4 3 6 13 7 15 9 0 10 5 8 11 2 12 1 14	34	50	7,115,967
61	6 13 3 2 11 9 5 10 1 7 12 14 8 4 0 15	31	45	7,096,850
45	3 14 9 7 12 15 0 4 1 8 5 6 11 10 2 13	39	51	6,158,733
28	13 14 6 12 4 5 1 0 9 3 10 2 15 11 8 7	36	52	5,934,442
73	6 14 10 5 15 8 7 1 3 4 2 0 12 9 11 13	37	49	3,222,276
85	4 7 13 10 1 2 9 6 12 8 14 5 3 0 11 15	32	44	2,725,456
31	12 8 15 13 1 0 5 4 6 3 2 11 9 7 14 10	38	50	2,351,811
86	6 0 5 10 11 12 9 2 1 7 4 3 14 8 13 15	35	45	2,304,426
30	12 15 2 6 1 14 4 8 5 3 7 0 10 13 9 11	35	47	2,196,593
48	8 11 4 6 7 3 10 9 2 12 15 13 0 1 5 14	39	49	1,905,023
74	14 13 4 11 15 8 6 9 0 7 3 1 2 10 12 5	46	56	1,897,728
9	3 14 9 11 5 4 8 2 13 12 6 7 10 1 15 0	32	46	1,650,696
93	13 9 14 6 12 8 1 2 3 4 0 7 5 10 11 15	34	46	1,599,909
47	6 10 1 14 15 8 3 5 13 0 2 7 4 9 11 12	35	47	1,411,294
94	5 7 11 8 0 14 9 13 10 12 3 15 6 1 4 2	45	53	1,337,340
19	7 11 8 3 14 0 6 15 1 4 13 9 5 12 2 10	36	46	1,280,495
97	9 14 5 7 8 15 1 2 10 4 13 6 12 0 11 3	32	44	1,002,927
55	13 8 14 3 9 1 0 7 15 5 4 10 12 2 6 11	29	41	927,212
42	4 5 7 2 9 14 12 13 0 3 6 11 8 1 15 10	30	42	877,823
12	14 1 9 6 4 8 12 5 7 2 3 0 10 11 13 15	35	45	546,344
79	0 1 9 7 11 13 5 3 14 12 4 2 8 6 10 15	28	42	540,860
